DESTINO,ORIGEN,UNIDAD,FOBDOL,FOBPES
USA,AXM,67,111249,440089316
PAN,AXM,67,8120,32122972
DEU,BOG,33,1838,7245318
DEU,BOG,33,679,2678303
DEU,BOG,33,1918,7562732
DEU,BOG,33,278,1094191
DEU,BOG,11,131,523725
DEU,BOG,11,1511,6042428
DEU,BOG,11,97,387456
DEU,BOG,11,21,85648
DEU,BOG,11,13980,55900529
DEU,BOG,33,21815,85791181
DEU,BOG,11,1495,5868005
DEU,BOG,11,2,7891
DEU,BOG,33,15,58887
DEU,BOG,11,1500,5998815
DEU,BOG,11,592,2324056
DEU,BOG,11,5569,21866888
DEU,BOG,11,110274,436560253
DEU,BOG,11,252,991013
DEU,BOG,11,4411,17347441
DEU,BOG,11,1500,5974725
DEU,BOG,33,2502,9965841
DEU,BOG,11,1908,7629157
DEU,BOG,11,14528,57782797
DEU,BOG,11,13866,55148535
DEU,BOG,11,372,1496031
DEU,BOG,11,2096,8432246
DEU,BOG,33,560,2234148
DEU,BOG,33,6064,24190636
DEU,BOG,33,6055,24119328
DEU,BOG,33,19389,77216692
DEU,BOG,33,22500,89621313
DEU,BOG,11,7616,30073660
DEU,BOG,11,11475,45403821
DEU,BOG,11,10214,40416088
DEU,BOG,11,14116,55855088
DEU,BOG,11,2640,10444699
DEU,BOG,11,3425,13553130
DEU,BOG,33,33328,133293643
DEU,BOG,11,684,2734061
DEU,BOG,11,12056,48204037
DEU,BOG,11,214,856878
DEU,BOG,11,19841,78605491
DEU,BOG,11,383,1499610
DEU,BOG,11,50,195772
DEU,BOG,11,2236,8845733
DEU,BOG,33,5565,22162612
DEU,BOG,33,1486,5980381
DEU,BOG,11,1064,4119223
DEU,BOG,11,1592,6163348
DEU,BOG,11,966,3860961
DEU,BOG,11,3256,13019149
DEU,BOG,11,13993,54935836
DEU,BOG,11,2426,9574007
DEU,BOG,11,18204,73079992
DEU,BOG,11,18415,72847609
DEU,BOG,11,2668,10536126
DEU,BOG,11,7528,29616256
DEU,BOG,11,659,2634218
DEU,BOG,11,5137,20540346
DEU,BOG,11,917,3628349
DEU,BOG,53,135475,548026180
DEU,BOG,11,2767,10860800
DEU,BOG,33,972,3870865
DEU,BOG,33,9490,36269726
DEU,BOG,33,22,88718
DEU,BOG,33,2,7765
DEU,BOG,33,149,587511
DEU,BOG,33,42159,163199624
DEU,BOG,11,800,3192704
DEU,BOG,33,112,449191
DEU,BOG,33,470,1887292
DEU,BOG,33,110,437837
DEU,BOG,33,438,1760154
DEU,BOG,33,181,726592
DEU,BOG,33,207,833086
DEU,BOG,33,172,687744
DEU,BOG,33,2683,10766905
DEU,BOG,33,2231,8923975
DEU,BOG,33,118,473823
DEU,BOG,33,243,971638
DEU,BOG,33,164855,648305433
DEU,BOG,33,11632,46526153
DEU,BOG,33,4363,17453127
DEU,BOG,11,8486,33373925
DEU,BOG,11,25101,98710762
DEU,BOG,33,5,19224
DEU,BOG,11,1971,7881721
DEU,BOG,11,11263,45043490
DEU,BOG,11,1354,5354679
DEU,BOG,11,16499,65516123
DEU,BOG,11,91000,353010550
DEU,BOG,11,555,2195527
DEU,BOG,11,925,3659212
DEU,BOG,11,3825,15265116
DEU,BOG,11,6035,24084961
DEU,BOG,11,672,2658351
DEU,BOG,11,7706,30482429
DEU,BOG,11,4386,17504560
DEU,BOG,11,707,2738393
DEU,BOG,11,6163,24194521
DEU,BOG,11,679,2628327
DEU,BOG,11,3294,12929203
DEU,BOG,67,2648878,10476910283
DEU,BOG,33,25974,103458338
DEU,BOG,11,11658,46612950
DEU,BOG,33,10299,41024214
DEU,BOG,11,3152,12396192
ARM,BOG,11,340,1367891
ARM,BOG,11,158,631365
ARM,BOG,11,3656,14617753
ARM,BOG,11,323,1290319
ARM,BOG,11,74,294705
ARM,BOG,11,607,2428776
ARM,BOG,11,2926,11678911
ARM,BOG,11,140,557550
ARM,BOG,11,770,3093280
ARM,BOG,11,5939,23789197
ARM,BOG,11,401,1611698
ARM,BOG,11,25,98919
ARM,BOG,33,20,79135
ARM,BOG,11,63,251906
ARM,BOG,11,60,237995
ARM,BOG,11,992,3969911
ARM,BOG,11,220,876293
ABW,BOG,11,4318,17227122
ABW,BOG,11,911,3603609
ABW,BOG,11,435,1739752
ABW,BOG,11,40,158141
ABW,BOG,11,587,2332124
ABW,BOG,11,119,474463
ABW,BOG,11,4569,18270552
ABW,BOG,33,2769,11071194
ABW,BOG,33,1067,4221834
ABW,BOG,33,103,414230
ABW,BOG,33,86,344548
ABW,BOG,33,206,829666
ABW,BOG,11,1406,5529222
ABW,BOG,11,2271,8952728
ABW,BOG,11,1218,4803399
ABW,BOG,11,4085,16108894
ABW,BOG,11,1749,6894506
ABW,BOG,11,9732,38374751
ABW,BOG,11,2788,10994469
ABW,BOG,11,500,1973092
ABW,BOG,11,629,2481743
ABW,BOG,11,744,2925847
ABW,BOG,11,569,2237250
ABW,BOG,11,2389,9553240
ABW,BOG,11,597,2388270
ABW,BOG,11,448,1791213
ABW,BOG,11,119,477662
ABW,BOG,11,2258,9027836
ABW,BOG,33,358,1432986
ABW,BOG,33,35,139410
ABW,BOG,33,358,1369823
ABW,BOG,33,93,355451
ABW,BOG,11,190,749964
ABW,BOG,11,273,1075659
ABW,BOG,11,213,839865
ABW,BOG,11,72,283898
ABW,BOG,11,358,1412590
ABW,BOG,11,1216,4793423
ABW,BOG,33,2403,9475022
ABW,BOG,33,82,322438
ABW,BOG,33,79,312211
ABW,BOG,33,183,722070
ABW,BOG,33,183,714357
ABW,BOG,33,158,615471
ABW,BOG,33,444,1732284
ABW,BOG,33,717,2860507
ABW,BOG,33,32,127586
ABW,BOG,33,416,1660850
ABW,BOG,33,54,214638
ABW,BOG,33,7530,30041391
ABW,BOG,33,61,245200
ABW,BOG,33,68,271340
ABW,BOG,33,183,732207
ABW,BOG,67,345413,1356311290
BIH,BOG,11,272,1087976
BIH,BOG,11,9098,36378444
BIH,BOG,11,1188,4750230
AGO,BOG,11,1608,6404935
AGO,BOG,11,1474,5893804
AIA,BOG,67,1481,5734430
ATG,BOG,11,657,2601491
ATG,BOG,11,1791,7087823
ATG,BOG,11,17825,70528456
ATG,BOG,11,10396,41136218
ATG,BOG,11,1323,5233211
ATG,BOG,11,1309,5178766
ATG,BOG,11,3873,15323344
ATG,BOG,19,9199,36399027
SAU,BOG,11,3044,12044377
SAU,BOG,11,736,2912175
SAU,BOG,11,2372,9385435
SAU,BOG,11,744,2943829
SAU,BOG,11,588,2326575
SAU,BOG,11,21,82224
SAU,BOG,11,860,3367191
SAU,BOG,11,24099,95375675
SAU,BOG,11,6,23493
SAU,BOG,33,2526,9920736
SAU,BOG,11,1421,5684310
SAU,BOG,11,7,27408
SAU,BOG,11,18140,72069744
SAU,BOG,11,1377,5392645
SAU,BOG,11,11208,44192140
SAU,BOG,11,2248,8865824
SAU,BOG,82,68634,271507868
SAU,BOG,11,11274,43090747
SAU,BOG,11,50,199926
SAU,BOG,11,1395,5579874
SAU,BOG,11,152,607986
SAU,BOG,11,1474,5897867
SAU,BOG,11,150,599986
SAU,BOG,33,1630,6519853
SAU,BOG,11,10472,41705258
